Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
SLC4A4	Q9Y6R1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			4500	0.5	72.2
SLC4A5	Q9BY07	"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC4A7	Q9Y6M7	"Essential proteins, Metabolic proteins, Predicted membrane proteins, Transporters"				4.1	148.4
SLC4A8	Q2Y0W8	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.5
SLC4A9	Q96Q91	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	1.5
SLC50A1	Q9BRV3	"Predicted membrane proteins, Transporters"				3.2	5.8
SLC51A	Q86UW1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	32.8
SLC51B	Q86UW2	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.8
SLC52A1	Q9NWF4	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"				0.0	4.5
SLC52A2	Q9HAB3	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC52A3	Q9NQ40	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
SLC5A1	P13866	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.3
SLC5A10	A0PJK1	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.7
SLC5A11	Q8WWX8	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC5A12	Q1EHB4	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLC5A2	P31639	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.4
SLC5A3	P53794	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC5A4	Q9NY91	"Predicted membrane proteins, Transporters"				6.1	0.0
SLC5A5	Q92911	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC5A6	Q9Y289	"Disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				2.2	6.6
SLC5A7	Q9GZV3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
SLC5A8	Q8N695	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC5A9	Q2M3M2	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC66A1	Q6ZP29	"Predicted membrane proteins, Transporters"				0.0	4.5
SLC66A2	Q8N2U9	"Predicted membrane proteins, Transporters"				42.4	34.9
SLC66A3	Q8N755	"Predicted membrane proteins"				0.2	8.5
SLC6A1	P30531	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.3
SLC6A11	P48066	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC6A12	P48065	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.4
SLC6A13	Q9NSD5	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	3.5
SLC6A14	Q9UN76	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLC6A15	Q9H2J7	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC6A16	Q9GZN6	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	2.0
SLC6A17	Q9H1V8	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.2	0.1
SLC6A18	Q96N87	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLC6A19	Q695T7	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.6	0.0
SLC6A2	P23975	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC6A20	Q9NP91	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.3
SLC6A3	Q01959	"Disease related genes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC6A4	P31645	"FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	1.2
SLC6A5	Q9Y345	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLC6A6	P31641	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.5	51.4
SLC6A7	Q99884	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	11.4
SLC6A8	P48029	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				41.5	23.3
SLC6A9	P48067	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.6	0.4
SLC7A1	P30825	"Metabolic proteins, Predicted membrane proteins, Transporters"				17.1	2.4
SLC7A10	Q9NS82	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC7A11	Q9UPY5	"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				7.0	1.6
SLC7A13	Q8TCU3	"Predicted membrane proteins, Transporters"				0.0	1.0
SLC7A14	Q8TBB6	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.0
SLC7A2	P52569	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	662.0
SLC7A3	Q8WY07	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC7A4	O43246	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC7A5	Q01650	"Metabolic proteins, Predicted membrane proteins, Transporters"			76000	49.9	16.4
SLC7A6	Q92536	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.7	318.2
SLC7A6OS	Q96CW6	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				3.0	155.9
SLC7A7	Q9UM01	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.9	1.7
SLC7A8	Q9UHI5	"Metabolic proteins, Predicted membrane proteins, Transporters"				1.6	55.2
SLC7A9	P82251	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.5	1.3
SLC8A1	P32418	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Intracellular and membrane"	Transport		11.9	2.5
SLC8A2	Q9UPR5	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLC8A3	P57103	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.1	433.8
SLC8B1	Q6J4K2	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	24.7
SLC9A1	P19634	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			8400	1.6	41.2
SLC9A2	Q9UBY0	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	35.6
SLC9A3	P48764	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC9A3R1	O14745	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			3700000	2.5	0.8
SLC9A3R2	Q15599	"Predicted intracellular proteins, Transporters"				0.0	1.0
SLC9A4	Q6AI14	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC9A5	Q14940	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	14.1
SLC9A6	Q92581	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.7	17.5
SLC9A7	Q96T83	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.2	37.1
SLC9A8	Q9Y2E8	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				5.0	103.1
SLC9A9	Q8IVB4	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			67000	4.0	26.2
SLC9B1	Q4ZJI4	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				9.1	6.8
SLC9B2	Q86UD5	"Predicted membrane proteins, Transporters"				6.7	13.6
SLC9C1	Q4G0N8	"Predicted membrane proteins, Transporters"				0.0	0.2
SLC9C2	Q5TAH2	"Predicted membrane proteins, Transporters"				0.0	2.6
SLCO1A2	P46721	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLCO1B1	Q9Y6L6	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.2
SLCO1B3	Q9NPD5	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLCO1B3-SLCO1B7		"Predicted membrane proteins"				0.0	0.2
SLCO1C1	Q9NYB5	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLCO2A1	Q92959	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.7
SLCO2B1	O94956	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.3	1.4
SLCO3A1	Q9UIG8	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				3.6	47.2
SLCO4A1	Q96BD0	"Metabolic proteins, Predicted membrane proteins, Transporters"				1.5	0.4
SLCO4C1	Q6ZQN7	"Predicted membrane proteins, Transporters"				1.7	0.1
SLCO5A1	Q9H2Y9	"Predicted membrane proteins, Transporters"				0.0	603.7
SLCO6A1	Q86UG4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLF1	Q9BQI6	"Predicted intracellular proteins, Predicted membrane proteins"				28.8	27.7
SLF2	Q8IX21	"Predicted intracellular proteins, Predicted membrane proteins"				7.9	152.5
SLFN11	Q7Z7L1	"Predicted intracellular proteins"				0.6	0.2
SLFN12	Q8IYM2	"Predicted intracellular proteins"				0.2	0.2
SLFN12L		"Predicted membrane proteins"				0.1	0.2
SLFN13	Q68D06	"Predicted intracellular proteins"				4.5	0.0
SLFN14	P0C7P3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				23.4	0.3
SLFN5	Q08AF3	"Predicted intracellular proteins"				0.1	17.2
SLFNL1	Q499Z3	"Essential proteins, Predicted intracellular proteins"				0.0	8.6
SLIRP	Q9GZT3	"Predicted intracellular proteins"				32.4	121.9
SLIT1	O75093	"Predicted secreted proteins"	"Secreted in brain"	"Developmental protein"		0.0	5.2
SLIT2	O94813	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Secreted in other tissues"	"Developmental protein"	170000	0.0	60.9
SLIT3	O75094	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	"Developmental protein"		1.6	17.3
SLITRK1	Q96PX8	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in brain"	"No annotated function"	130000	0.0	0.0
SLITRK2	Q9H156	"Predicted membrane proteins"			39000	0.0	0.0
SLITRK3	O94933	"Predicted intracellular proteins, Predicted membrane proteins"			450000	0.0	0.0
SLITRK4	Q8IW52	"Predicted membrane proteins"			220000	0.0	12.4
SLITRK5	O94991	"Predicted membrane proteins"				0.0	0.3
SLITRK6	Q9H5Y7	"Disease related genes, Human disease related genes, Predicted membrane proteins"			16000	0.0	0.0
SLK	Q9H2G2	"Enzymes, Plasma proteins, Predicted intracellular proteins"			23000	16.0	67.4
SLMAP	Q14BN4	"Predicted intracellular proteins, Predicted membrane proteins"			3800	15.4	638.3
SLN	O00631	"Predicted membrane proteins, Transporters"				0.0	129.3
SLPI	P03973	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	Immunity	20000000	0.1	1.1
SLTM	Q9NWH9	"Predicted intracellular proteins"			20000	29.5	292.6
SLU7	O95391	"Essential proteins, Predicted intracellular proteins"				16.3	12.7
SLURP1	P55000	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"	"Secreted in other tissues"	Cytokine	2100000	0.0	0.0
SLURP2	P0DP57	"Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"	820000	0.0	0.0
SLX1A	Q9BQ83	"Predicted intracellular proteins"				0.0	0.0
SLX1B	Q9BQ83	"Predicted intracellular proteins"				0.0	0.0
SLX4	Q8IY92	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				0.4	12.6
SLX4IP	Q5VYV7	"Disease related genes, Predicted intracellular proteins"				4.6	34.1
SLX9	Q9NSI2	"Predicted intracellular proteins"				1.7	10.8
SMAD1	Q15797	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"				0.1	110.0
SMAD2	Q15796	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"				8.3	158.6
SMAD3	P84022	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"				1.9	586.8
SMAD4	Q13485	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"				11.7	55.6
SMAD5	Q99717	"Predicted intracellular proteins, Transcription factors"				6.2	85.6
SMAD6	O43541	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"				0.0	10.3
SMAD7	O15105	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"				1.5	13.3
SMAD9	O15198	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"				0.0	40.4
SMAGP	Q0VAQ4	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.9
SMAP1	Q8IYB5	"Predicted intracellular proteins"				3.6	215.8
SMAP2	Q8WU79	"Predicted intracellular proteins"				19.0	10.3
SMARCA1	P28370	"Predicted intracellular proteins, Transcription factors"				0.0	48.9
